id,project_code,pq_number,po_so_number,asn_dn_number,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,planned_lead_time_days,actual_lead_time_days,is_on_time,freight_pct_of_value,freight_cost_per_kg
1871,100-GU-T18,PQ-79825,SO-74450,ASN-40841,Guyana,PMO - US,Direct Drop,FCA,Air,11/6/2014,11/15/2014,12/6/2014,12/13/2014,12/14/2014,MRDT,Malaria test,Sun Pharma,MRDT product - Malaria test formulation,Molecule 37,Branded,60mg,Capsule,10,5000,84923.5,152.8623,16.9847,SCMS Global Warehouse,Yes,58.3,3275.57,840.23,21,28,f,3.86,56.18
1844,100-NI-T27,PQ-73974,SO-13519,ASN-99910,Nigeria,Haiti Field Office,From RDC,EXW,Air,12/20/2013,1/4/2014,3/31/2014,3/17/2014,3/21/2014,ANTM,Antimalarial,Novartis Pharma Ag,ANTM product - Antimalarial formulation,Molecule 28,Branded,150mg,Tablet,60,1000,30055.7,721.3368,30.0557,"ABC Farmaceutica, Brazil",Yes,4.44,2625.51,280.05,86,72,t,8.74,591.33
5798,100-RW-T81,PQ-92091,SO-72596,ASN-12314,Rwanda,PMO - US,Direct Drop,DDP,Air,6/1/2015,6/16/2015,8/29/2015,8/29/2015,9/2/2015,HRDT,HIV test,Mylan Inc,HRDT product - HIV test formulation,Molecule 38,Generic,150mg,Oral Solution,60,50000,37565,0.7513,0.7513,"Hetero Unit III, India",Yes,99.78,5461.83,130.78,74,74,t,14.54,54.74
4919,100-SO-T66,PQ-47377,SO-46153,ASN-34675,South Africa,Haiti Field Office,From RDC,CIP,Air,12/10/2014,12/17/2014,1/8/2015,1/13/2015,1/13/2015,ANTM,Antimalarial,Sun Pharma,ANTM product - Antimalarial formulation,Molecule 39,Branded,120mg,Tablet,10,10000,442532,929.3172,44.2532,SCMS Global Warehouse,Yes,165.22,29815.21,1798.02,22,27,f,6.74,180.46
20,100-TA-T12,PQ-90219,SO-71629,ASN-38016,Tanzania,PMO - US,From RDC,EXW,Truck,1/29/2014,2/8/2014,5/5/2014,5/3/2014,5/7/2014,HRDT,HIV test,Bristol Myers Squibb,HRDT product - HIV test formulation,Molecule 6,Branded,120mg,Tablet,100,10000,182460,474.396,18.246,SCMS Global Warehouse,Yes,150.79,26046.38,1533.6,86,84,t,14.28,172.73
4322,101-KE-T13,PQ-45108,SO-34977,ASN-71039,Kenya,South Africa Field Office,From RDC,EXW,Air,7/1/2014,7/9/2014,7/29/2014,7/23/2014,7/26/2014,ANTM,Antimalarial,Scms Global,ANTM product - Antimalarial formulation,Molecule 18,Branded,60mg,Oral Solution,1,25000,571947.5,571.9475,22.8779,"Hetero Unit III, India",Yes,,55232.1,3343.52,20,14,t,9.66,
5497,101-MO-T19,PQ-90140,SO-81578,ASN-14335,Mozambique,PMO - US,Direct Drop,EXW,Ocean,7/12/2014,7/31/2014,10/9/2014,10/10/2014,10/10/2014,ANTM,Antimalarial,Scms From Rdc,ANTM product - Antimalarial formulation,Molecule 18,Branded,60mg,Test kit,30,500,4664.85,214.5831,9.3297,SCMS Global Warehouse,No,,270.4,,70,71,f,5.8,
862,102-CA-T31,PQ-94483,SO-29335,ASN-92189,Cameroon,Haiti Field Office,From RDC,DDP,Truck,2/27/2016,3/5/2016,5/15/2016,5/26/2016,5/27/2016,HRDT,HIV test,Zenith Pharmaceuticals,HRDT product - HIV test formulation,Molecule 5,Branded,150mg,Tablet,10,500,5979,83.706,11.958,"Mylan H-12, India",No,9.24,669.56,55.49,71,82,f,11.2,72.46
2852,102-CO-T22,PQ-52050,SO-84823,ASN-43355,Cote D'Ivoire,South Africa Field Office,Direct Drop,DDP,Truck,5/21/2015,5/28/2015,7/18/2015,7/22/2015,7/26/2015,MRDT,Malaria test,Bristol Myers Squibb,MRDT product - Malaria test formulation,Molecule 18,Branded,60mg,Tablet,60,1000,42982.6,773.6868,42.9826,"Ranbaxy, Paonta Sahib, India",Yes,11.45,3375.15,183.18,51,55,f,7.85,294.77
3295,102-CO-T34,PQ-99752,SO-26229,,Cote D'Ivoire,South Africa Field Office,From RDC,EXW,Air Charter,2/24/2015,3/5/2015,5/5/2015,4/30/2015,5/1/2015,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 13,Branded,150mg,Test kit,10,1000,8940.5,241.3935,8.9405,"Mylan H-12, India",Yes,12.67,1093.1,56.74,61,56,t,12.23,86.27
